,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
59,"1622561343.6971698,",250005693,0,7.099999904632568,1,51.96958,4.132468333333334,120.8000030517578,126,3
60,"1622561343.7793164,",244042000,0,3.400000095367432,1,51.920366666666666,3.960505,50.5,48,3
61,"1622561343.8039978,",249525000,0,0.0,1,51.976216666666666,3.9907166666666662,252.0,171,1
62,"1622561344.58756,",244750616,0,0.0,0,51.959605,3.995511666666667,197.1000061035156,173,4
63,"1622561344.6338818,",244050469,0,0.0,0,51.96119,4.089878333333333,223.1999969482422,193,4
64,"1622561344.7305703,",246259000,3,0.6000000238418579,1,51.98952666666667,4.024628333333333,267.70001220703125,88,4
65,"1622561344.7636232,",305149000,0,5.5,0,51.97163333333334,4.098841666666667,112.0999984741211,112,5
66,"1622561344.9236093,",248352000,0,0.0,0,51.95993166666667,4.009715,71.0999984741211,352,3
67,"1622561345.4891188,",244287000,0,24.399999618530277,1,51.9705,4.117333333333334,73.0,61,3
68,"1622561345.7145126,",256758000,0,0.0,1,51.96173833333334,4.139263333333333,342.5,39,3
69,"1622561346.284714,",212396000,3,12.800000190734863,1,52.05943333333333,4.000038333333333,156.39999389648438,149,6
70,"1622561346.3488219,",212115000,3,9.300000190734863,1,52.028196666666666,4.046546666666667,15.199999809265137,18,7
71,"1622561346.4712026,",244030516,0,4.699999809265137,1,51.93986,4.08426,112.6999969482422,108,5
72,"1622561346.5109453,",211476060,0,0.0,1,51.95967,4.109173333333334,360.0,294,6
73,"1622561346.5705454,",249532000,0,0.0,0,51.961,4.1405,258.0,39,3
74,"1622561346.6347487,",538009096,5,0.0,1,51.953343333333336,4.127571666666666,22.700000762939453,188,2
75,"1622561346.7220013,",245232000,0,0.0,0,51.977145,4.125203333333333,360.0,8,6
76,"1622561346.8455207,",211138300,0,0.0,1,51.96384666666667,4.095721666666667,327.1000061035156,296,6
77,"1622561346.870682,",304642000,5,16.899999618530273,1,52.02916666666667,3.943666666666666,291.0,296,5
78,"1622561346.925878,",245209000,0,3.299999952316284,1,51.980268333333335,4.093421666666667,106.5999984741211,105,6
79,"1622561347.1654723,",244287000,0,24.200000762939453,1,51.97056666666667,4.117683333333333,67.0,55,5
80,"1622561347.4041512,",244900124,0,0.0,0,51.95999833333333,4.011145,181.1000061035156,357,8
81,"1622561347.505044,",257048880,0,11.5,1,52.03181,3.966841666666667,305.20001220703125,315,6
82,"1622561347.6337225,",249040000,0,8.600000381469727,1,51.97194666666667,4.094451666666667,43.0,52,4
83,"1622561347.718902,",305542000,8,0.0,0,51.96405833333333,4.094918333333333,32.599998474121094,295,8
84,"1622561347.9147716,",211684020,0,0.0,1,51.964153333333336,4.094453333333333,22.299999237060547,114,8
85,"1622561347.9648862,",244050469,0,0.0,0,51.96119,4.089878333333333,216.8999938964844,193,7
86,"1622561348.150267,",305149000,0,5.5,0,51.971606666666666,4.098958333333333,111.6999969482422,112,8
87,"1622561348.4900644,",357314000,0,12.600000381469728,1,52.0077,3.9897,290.0,292,9
88,"1622561348.688564,",636012662,0,0.0,0,51.967695,4.073933333333334,137.0,152,9
89,"1622561348.7152002,",636092635,5,0.0,0,51.962876666666666,4.05641,180.8999938964844,263,4
90,"1622561348.7652884,",249522000,10,9.5,1,51.96706666666667,4.085966666666667,41.0,47,9
91,"1622561348.9269018,",636017857,4,8.399999618530273,1,51.98151,4.070238333333333,114.4000015258789,114,59
92,"1622561349.087213,",210621000,0,0.0,1,51.90148333333333,4.384783333333333,340.0,52,9
93,"1622561349.1121707,",311020200,0,0.0,1,51.927256666666665,4.206686666666666,79.0,309,9
94,"1622561349.33847,",244030516,0,4.699999809265137,1,51.939835,4.084358333333333,112.0,107,8
95,"1622561349.4040473,",314416000,0,11.699999809265137,0,52.01059333333333,4.002795,298.6000061035156,300,8
96,"1622561349.4717422,",244820146,0,1.7000000476837158,1,52.038,3.900833333333333,27.0,26,8
97,"1622561349.5002773,",244287000,0,24.200000762939453,1,51.970666666666666,4.118016666666667,60.0,51,7
98,"1622561349.805464,",244697000,0,0.0,0,51.95145,4.144166666666667,149.0,41,8
99,"1622561350.7917714,",244792000,0,3.0,1,51.89479833333333,3.9481766666666656,336.0,344,10
100,"1622561351.283376,",244287000,0,24.299999237060547,1,51.97078333333334,4.118316666666667,54.0,49,9
101,"1622561351.4031396,",244407000,0,0.0,1,51.97666,4.1255,180.0,208,10
102,"1622561351.4864948,",304068000,0,0.0,0,51.922755,4.217183333333334,89.80000305175781,37,12
103,"1622561351.6337118,",244013210,0,0.0,1,51.976843333333335,4.125673333333333,92.5999984741211,210,10
104,"1622561351.8835337,",244050469,0,0.0,0,51.96119,4.089876666666667,213.5,193,11
105,"1622561352.950722,",304642000,5,16.799999237060547,1,52.02933333333333,3.943,291.0,296,11
106,"1622561352.9759526,",244820146,0,1.7000000476837158,1,52.03816666666667,3.900833333333333,24.0,24,12
107,"1622561353.4144928,",244042000,0,3.400000095367432,1,51.920465,3.960698333333333,50.20000076293945,48,13
108,"1622561353.500009,",244287000,0,24.600000381469727,1,51.970933333333335,4.118616666666667,51.0,45,11
109,"1622561353.5104868,",244030516,0,4.699999809265137,1,51.93980333333333,4.084491666666667,111.0999984741211,107,12
110,"1622561353.5660717,",250005693,0,7.0,1,51.96939166666667,4.132896666666666,123.6999969482422,127,13
111,"1622561353.6837893,",636020533,5,0.0,1,51.96121333333333,3.995416666666667,270.8999938964844,173,13
112,"1622561353.967767,",245209000,0,3.299999952316284,1,51.98023666666667,4.093595,106.5999984741211,105,13
113,"1622561354.123559,",249525000,0,0.0,1,51.976216666666666,3.9907166666666662,252.0,171,11
114,"1622561354.153404,",248352000,0,0.0,0,51.959923333333336,4.009716666666667,71.0999984741211,351,13
115,"1622561354.4145358,",244660114,0,0.0,1,51.93710166666666,4.05263,73.69999694824219,69,13
116,"1622561354.4863603,",244050469,0,0.0,0,51.96119166666666,4.089876666666667,224.3000030517578,193,14
117,"1622561354.7672136,",244750616,0,0.0,0,51.959605,3.99551,224.3999938964844,173,14
118,"1622561355.3341355,",244287000,0,24.899999618530277,1,51.971066666666665,4.1189,48.0,40,13
119,"1622561355.510224,",249532000,0,0.0,0,51.961,4.1405,258.0,39,11
120,"1622561355.7810488,",245882000,0,0.0,0,51.891065,4.272643333333333,82.9000015258789,343,15
121,"1622561356.1274664,",248753000,0,9.199999809265137,0,51.96789,4.112411666666667,117.4000015258789,116,15
122,"1622561356.4025362,",244030516,0,4.699999809265137,1,51.93978,4.084593333333333,110.4000015258789,106,15
123,"1622561356.4678442,",257048880,0,11.5,1,52.03209833333333,3.96622,306.5,315,15
124,"1622561356.7036238,",245232000,0,0.0,0,51.977145,4.125201666666666,360.0,9,16
125,"1622561356.7291033,",212115000,3,9.300000190734863,1,52.02861833333333,4.046733333333333,14.800000190734863,18,17
126,"1622561356.9778206,",256758000,0,0.0,1,51.96173833333334,4.139263333333333,342.5,39,14
127,"1622561357.002732,",305542000,8,0.0,0,51.96405,4.094921666666667,32.599998474121094,295,17
128,"1622561357.0337517,",244710324,0,9.0,1,51.936128333333336,4.114948333333333,104.3000030517578,103,59
129,"1622561357.3461454,",244287000,0,25.0,1,51.97123333333333,4.119166666666667,43.0,36,15
130,"1622561357.5136216,",249040000,0,8.399999618530273,1,51.972145,4.094996666666667,62.0,72,14
131,"1622561357.5871823,",357314000,0,12.600000381469728,1,52.00788333333333,3.988916666666667,290.0,292,18
